Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
Leaving Isn't the Hardest Thing,Lauren  Hough,9049,3.3,1630,"Searing and extremely personal essays from the heart of working-class America, shot through with the darkest elements the country can manifest--cults, homelessness, and hunger--while discovering light and humor in unexpected corners.As an adult, Lauren Hough has had many identities: an airman in the U.S. Air Force, a cable guy, a bouncer at a gay club. As a child, however, she had none. Growing up as a member of the infamous cult The Children of God, Hough had her own self robbed from her. The cult took her all over the globe--to Germany, Japan, Texas, Ecuador--but it wasn't until her mother finally walked away that Lauren understood she could have a life beyond ""The Family.""Along the way, she's loaded up her car and started over, trading one life for the next. She's taken pilgrimages to the sights of her youth, been kept in solitary confinement, dated a lot of women, dabbled in drugs, and eventually found herself as what she always wanted to be: a writer. Here, as she sweeps through the underbelly of America--relying on friends, family, and strangers alike--she begins to excavate a new identity even as her past continues to trail her and color her world, relationships, and perceptions of self.At once razor-sharp, profoundly brave, and often very, very funny, the essays in Leaving Isn't the Hardest Thing interrogate our notions of ecstasy, queerness, and what it means to live freely. Each piece is a reckoning: of survival, identity, and how to reclaim one's past when carving out a future.",Memoir,"April 13, 2021",314,665,22.9k
The Kid,Sapphire,2459,2.69,554,"Fifteen years after the publication of Push, one year after the Academy Award-winning film adaptation, Sapphire gives voice to Precious's son, Abdul. In The Kid bestselling author Sapphire tells the electrifying story of Abdul Jones, the son of Push's unforgettable heroine, Precious.A story of body and spirit, rooted in the hungers of flesh and of the soul, The Kid brings us deep into the interior life of Abdul Jones. We meet him at age nine, on the day of his mother's funeral. Left alone to navigate a world in which love and hate sometimes hideously masquerade, forced to confront unspeakable violence, his history, and the dark corners of his own heart, Abdul claws his way toward adulthood and toward an identity he can stand behind.In a generational story that moves with the speed of thought from a Mississippi dirt farm to Harlem in its heyday; from a troubled Catholic orphanage to downtown artist's lofts, The Kid tells of a twenty- first-century young man's fight to find a way toward the future. A testament to the ferocity of the human spirit and the deep nourishing power of love and of art, The Kid chronicles a young man about to take flight. In the intimate, terrifying, and deeply alive story of Abdul's journey, we are witness to an artist's birth by fire.",Fiction,"January 1, 2011",374,232,"2,895"
Wild Animus,Rich Shapero,852,1.91,244,"Quest with a young idealist for a bliss beyond fear in an unforgiving visionary wilderness, whose ruling deity portends sublime love or self-destruction.",Fiction,"January 1, 2004",315,46,"1,104"
The Eye of Argon,Jim Theis,590,2.68,242,"This is not a hoax. Jim Theis was a real person, who wrote The Eye of Argon in all seriousness as a teenager, and published it in a fanzine, Osfan in 1970. But the story did not pass into the oblivion that awaits most amateur fiction. Instead, a miracle happened, and transcribed and photocopied texts began to circulate in science fiction circles, gaining a wide and incredulous audience among both professionals and fans. It became the ultimate samizdat, an underground classic, and for more than thirty years it has been the subject of midnight readings at conventions, as thousands have come to appreciate the negative genius of this amazing Ed Wood of prose.",Fantasy,"January 1, 1970",76,43,574
Stones To Abbigale,Onision,691,1.92,161,"I want to be direct, my name is Greg. I go by ""Onision"" online. This book is made up of events that occurred in my own life mixed with fiction from the made up life of James. James is essentially a better version of myself. His home, his school & his life all resemble my own at his age. The people James analyzes and is surrounded by are not so unlike those I've known as well. I have experienced much of the loss James has however his happier moments are more often than not also mine. I want to share my story without it being purely non-fiction. I simply felt this approach would make for a far better book. At points I cried while writing this, at others I laughed. Stones To Abbigale is not just a book I wrote, it is a piece of who I am.",Fiction,"March 29, 2015",181,47,567
Empress Theresa,Norman Boutin,208,1.5,90,"There are a million romance, mystery, and modern angst novels, but there is only one book about a heroic teenage American girl winning against impossible odds and changing the world. Read five sample chapters here: http://www.empresstheresa.com/look_in... Judge for yourself! This one of a kind story is a great gift for a teenager. An 18 year old girl gets enormous power over the whole world. What will she do with it? DESCRIPTION: Theresa is honest, courageous, brilliant, loved by everybody ( even China wants her to take herself out of danger ), happily married, powerful but harmless, thoughtful of others' welfare not just her own, a believer in God, and an inspiration to the young and old. She attacks ""impossible"" problems with everything she's got and she never gives up. ____ ""Those who challenge Theresa Hartley's power are fools"" says the Israeli Prime Minister. ""She could destroy the world.""____ ""Don't mess around with Empress Theresa!"" says her husband Steve. __ Empress Theresa is what some people would consider impossible, a book about a good girl, with no sex, foul language, or violence, but still giving the reader an action-filled fascinating story. THE BOOK'S INTRODUCTION FOLLOWS What would you do with limitless power? We know what many people in the world would do. History is full of examples. But the world lucks out. It’s Theresa who gets limitless power. Eighteen year old Theresa only wants a quiet life when she’s suddenly burdened with global responsibilities. She is challenged by a series of “impossible” problems. Especially tricky is the one that prompts her to complain, “What am I supposed to do, change the laws of physics? This is the most impossible problem yet.” Can you guess the solutions before reading what Theresa does? Write a book about a decent girl and some critics will say every character must have serious flaws. I might have made Theresa another kind of personality, a less desirable and troubled kind of girl which would satisfy certain critics, but then people would come at me with a noose complaining, “This was our only chance to see a super-powerful girl in action and you messed up. Why didn’t you give us a loveable, inspiring Theresa?” I did, but I didn’t overdo it. A girl as fine as Theresa can be found in any high school. You know one. Empress Theresa is a tribute to the common, decent human being who quietly builds the world but hasn’t gotten enough attention lately. Norman Boutin, BS, BSN, DMD",Fiction,"March 14, 2014",418,24,290
Kissing the Coronavirus,M.J.    Edwards,3129,2.34,1824,"She was supposed to cure the Coronavirus. Instead... she fell in love with it.Dr. Alexa Ashingtonford is a part of a crack team of scientists tasked with finding the cure to the devastating Coronavirus. Little did she know she would end up falling in love with it, in this steamy viral-erotica.Kissing the Coronavirus is a steamy tale about forbidden love and dark desires come to life.",Romance,"April 22, 2020",16,205,"1,997"
Actors Anonymous,James Franco,1972,2.57,339,"The actors in James Franco’s brilliant debut novel include a McDonald’s drive-thru operator who spends his shift trying on accents; an ex-child star recalling a massive beachside bacchanal; hospital volunteers and Midwestern transplants; a vampire flick starlet who discovers a cryptic book written by a famous actor gone AWOL; and the ghost of River Phoenix. Then there’s Franco himself, who prowls backstage, peering out between the lines—before taking the stage with fascinating meditations on his art, along with nightmarish tales of excess. “Hollywood has always been a private club,” he writes. “I open the gates. I say welcome. I say, Look inside.”   Told in a dizzying array of styles—from lyric essays and disarming testimonials to hilariously rambling text messages and ghostly footnotes—and loosely modeled on Alcoholics Anonymous’s Twelve Steps and Twelve Traditions, Actors Anonymous is an intense, wild ride into the dark heart of celebrity.",Fiction,"August 1, 2013",304,129,"2,718"
The Almost Moon,Alice Sebold,37498,2.71,5868,"A woman steps over the line into the unthinkable in this brilliant, powerful, and unforgettable new novel by the author of The Lovely Bones and Lucky.For years Helen Knightly has given her life to others: to her haunted mother, to her enigmatic father, to her husband and now grown children. When she finally crosses a terrible boundary, her life comes rushing in at her in a way she never could have imagined. Unfolding over the next twenty-four hours, this searing, fast-paced novel explores the complex ties between mothers and daughters, wives and lovers, the meaning of devotion, and the line between love and hate. It is a challenging, moving, gripping story, written with the fluidity and strength of voice that only Alice Sebold can bring to the page.",Fiction,"January 1, 2007",295,"1,108",15k
The Mask of Gold,Alan A. McLean,1315,2,199,,Novels,"January 1, 2001",103,39,392
Revenge Wears Prada: The Devil Returns,Lauren Weisberger,36230,2.98,4067,"Almost a decade has passed since Andy Sachs quit the job “a million girls would die for” working for Miranda Priestly at Runway magazine—a dream that turned out to be a nightmare. Andy and Emily, her former nemesis and co-assistant, have since joined forces to start a high end bridal magazine, The Plunge, which has quickly become required reading for the young and stylish. Now they get to call all the shots: Andy writes and travels to her heart’s content; Emily plans parties and secures advertising like a seasoned pro.Even better, Andy has met the love of her life. Max Harrison, scion of a storied media family, is confident, successful, and drop-dead gorgeous. Their wedding will be splashed across all the society pages as their friends and family gather to toast the glowing couple. Andy Sachs is on top of the world. But karma’s a bitch.The morning of her wedding, Andy can’t shake the past. And when she discovers a secret letter with crushing implications, her wedding-day jitters turn to cold dread. Andy realizes that nothing—not her husband, nor her beloved career—is as it seems. She never suspected that her efforts to build a bright new life would lead her back to the darkness she barely escaped ten years ago—and directly into the path of the devil herself...",Chick Lit,"June 4, 2013",400,"1,945",29.7k
Four Blondes,Candace Bushnell,25488,2.84,1015,"Now in paperback comes the sexy, funny, and page-turning bestseller from the author of ""Sex and the City. 4 Blondes"" brings together the stories of four modern women to render a vivid portrait of New York at the millennium.",Chick Lit,"January 1, 2000",256,164,10k
To Train Up a Child,Michael Pearl,1812,2.86,347,"Three thousand years ago, a wise man said, “Train up a child in the way that he should go and when he is old he will not depart from it.”  Good training is not crisis management; it is what you do before the need of discipline arises.Most parenting is accidental rather than deliberate.  Imagine building a house that way.  We don’t need to reinvent training.  There are child training principles and methods that have worked from antiquity.  To neglect deliberate training is to shove your child into a sea of choices and passions without a boat of compass.This book is not about discipline, nor problem children.  The emphasis is on the training of a child before the need to discipline arises.  It is apparent that, though they expect obedience, most parents never attempt to train their child to obey.  They wait until the behavior becomes unbearable and then explode.  With proper training, discipline can be reduced to 5% of what many now practice.  As you come to understand the difference between training and discipline, you will have a renewed vision for your family, no more raised voices, no contention, no bad attitudes, fewer spankings, a cheerful atmosphere in the home and total obedience from your children.",Parenting,"August 1, 1994",122,95,"1,033"
Adam,Ariel Schrag,2589,2.68,571,"When Adam Freedman - a straight, cis teen from Piedmont, California - goes to stay with his older sister, Casey, in Brooklyn, he fantasizes about a summer of freedom, new friends, and falling in love. He’s in for a surprise.It’s 2006, and Casey has thrown herself into NYC’s lesbian and trans activist scene - marriage equality marches, L Word-watching parties, BDSM sex clubs, and trans rights protests. Adam tags along, having fun in places he’d never have expected, but he’s surrounded by lesbians, and it seems like the last thing he’ll find is a girlfriend. That is, until he meets Gillian. Adam is soon hopelessly, desperately in love...only there’s just one small problem. Gillian thinks he’s a trans man.Ariel Schrag’s scathingly funny and poignant debut novel puts a fresh spin on questions of love, attraction, self-definition, and what it means to be part of a community.",Fiction,"June 10, 2014",302,47,"3,324"
Holy Terror,Frank Miller,1016,1.97,218,"There's a deadly menace somewhere in Empire City, and The Fixer only has until dawn to save his town - and civilization as we know it! Legendary Comics presents an all-out, head-busting, bone-breaking, neck-snapping brawl of a tale from Frank Miller, one of the most celebrated storytellers of the medium. Years in the making, HOLY TERROR features the desperate and brutal quest of a hero as he is forced to run down an army of murderous zealots in order to stop a crime against humanity.",Comics,"January 1, 2011",120,2,218
This Is Why I Hate You,Onision,482,1.83,117,"Within these pages wait violent fights, disease, death, controversy, sexuality, tragedy and crime. This journal documents a hateful young man's path to darkness. Many events that occur are based on real events. You will find many moments from the authors own life sewn into the life of Arthur Gale.You can only go so far before all hope of return is lost; this book reaches that point, and goes even farther.James represented the light, Arthur is the dark. There is no hero. There is only Arthur.",Fiction,"September 11, 2015",115,30,388
Return to the Secret Garden,Susan Moody,252,2.71,39,"Millions of readers have experienced the magic of, and the memorable characters of Colin, Mary, and Dickon. Return to the Secret Garden is the marvelous continuation of that tale, following the lives of these same characters as adults. Together, as their lives irrevocably change through two world wars, marriage, and the birth of children, ther bond of friendship deeper than time itself remains true. Evocative and unforgettable, this heartwarming story is one that readers everywhere will come back to time and time again. • This is the sequel the ""The Secret Garden"" - one of themost popular children's novels of all time! • The Signet Classic edition of ""The Secret Garden"" has over 200,000 copies in print! • ""The Secret Garden"" has been made into two hit feature films, a TV movie, and a Broadway musical! • Susan Moody is the author of the popular ""Cassie Swan"" and ""Penny Wannawake"" series.",Fiction,"January 1, 1996",464,6,284
Pemberley: Or Pride and Prejudice Continued,Emma Tennant,1421,2.5,242,"As Jane Austen's beloved novel Pride and Prejudice comes to a close, Elizabeth Bennet proudly announces her engagement to Mr. Darcy, boasting, ""We are to be the happiest couple in the world."" But after the nuptials, can a marriage between two people as strong-willed as Elizabeth and Darcy survive? With all the wit and style of Jane Austen, Emma Tennant brilliantly imagines both the perils and pleasure of such a marriage.It's now a year after the wedding, and the time has come for Elizabeth and Darcy to invite their families to visit Pemberley—but not without trepidation, for any gathering that includes both Mrs. Bennet and Lady Catherine de Bourgh must occasion gaffes and hurt feelings. And when Darcy becomes increasingly distant and Elizabeth falls prey to vicious gossip, the forces of pride and prejudice are at work once again in this ""eminently enjoyable"" continuation of Pride and Prejudice (Los Angeles Times).",Historical Fiction,"January 1, 1993",227,16,769
After Dead: What Came Next in the World of Sookie Stackhouse,Charlaine Harris,15899,3.02,1871,"Dead Ever After marked the end of the Sookie Stackhouse novels—a series that garnered millions of fans and spawned the hit HBO television show True Blood. It also stoked a hunger that will never die…a hunger to know what happened next. With characters arranged alphabetically—from the Ancient Pythoness to Bethany Zanelli—bestselling author Charlaine Harris takes fans into the future of their favorite residents of Bon Temps and environs. You’ll learn how Michele and Jason’s marriage fared, what happened to Sookie’s cousin Hunter, and whether Tara and JB’s twins grew up to be solid citizens. This coda provides the answers to your lingering questions—including details of Sookie’s own happily-ever-after…The book will feature extensive interior art by acclaimed Sookie artist Lisa Desimini, including a Sookieverse Alphabet, color endpapers, and several full-page black and white interior illustrations.",Fantasy,"October 29, 2013",195,393,10.2k
"I Want to Tell You: My Response to Your Letters, Your Messages, Your Questions",O.J. Simpson,254,2.29,33,"As O.J. waits to be judged by a jury of his peers, his commentary, thoughts, and relections are juxaposed with letters selected from the more than 300,000 he has received from people across the United States, since being incarcerate at the Los Angeles County Jail.",Nonfiction,"January 1, 1995",208,5,359
Quinn,J.C. Cliff,734,2.8,312,"They've done all kinds of work, from private investigations to highly classified governmental operations. Former military, their tight-knit brotherhood is now Atrox Security. These men fear nothing, they are unwavering, unafraid, and unrelenting. They are the Undaunted Men.*~*~*He doesn't want to take the job, but he has no choice. He owes a debt to the Moretti mob, and last he checked, they don't take no for an answer.He takes a moment to soak in the information. A pregnant mafia princess, wanted for murder, and he's supposed to track her down.The professed father is a childhood friend, yet he's considered a potential enemy of the family. This could get very interesting.What starts out as a simple task, one that could easily take him one day to execute, has turned into so much more than he bargained for.They're each fighting their own personal demons, and it's more than just a chase at hand. They both have secrets, hearts are on the line, and he resolves himself to go above and beyond the call of duty for reasons he can't understand.The last thing he ever intends on finding is an angel.",Romance,"February 23, 2016",462,45,721
Pamela,Samuel Richardson,11977,2.77,1104,"One of the most spectacular successes of the flourishing literary marketplace of eighteenth-century London, Pamela also marked a defining moment in the emergence of the modern novel. In the words of one contemporary, it divided the world into two different Parties, Pamelists and Anti-pamelists, even eclipsing the sensational factional politics of the day. Preached for its morality, and denounced as pornography in disguise, it vividly describes a young servant's long resistance to the attempts of her predatory master to seduce her. Written in the voice of its low-born heroine, Pamela is not only a work of pioneering psychological complexity, but also a compelling and provocative study of power and its abuse.Based on the original text of 1740, from which Richardson later retreated in a series of defensive revisions, this edition makes available the version of Pamela that aroused such widespread controversy on its first appearance.",Classics,"January 1, 1740",592,699,"9,353"
Confessions of a Sociopathic Social Climber: The Katya Livingston Chronicles,Adèle Lang,796,2.75,89,"Bitingly written with wit and style reminiscent of Candace Bushnell, Adèle Lang’s novel is a cutting, bitchy, hilarious take on the young-single-British-woman genre.When weasel-eyed tax inspectors question her claims, Katya is forced to keep a financial diary. As well as documenting the cruel and parsimonious ways of her ad agency boss, Katya waxes lyrical about putting up with loser friends, mortal enemies, and thoroughly bad restaurants. She also throws in a candid account of her love life, in case it is tax deductible. A private account of expenses rapidly becomes, through Katya’s chronic delusions of grandeur, a matter of public record: first as a tawdry gossip column, then as a salacious book, and finally as a Hollywood B movie.",Chick Lit,"January 1, 1998",196,12,387
Suicide Ride: The Platinum Man,E. Llewellyn,226,2.8,100,"Are you straight? Are you sure? What would you do if you were down-and-out and desperate? What would you do—how far would you go—for FAME? Find out just how far, and just how low, Johnny Gellis is willing to go in SUICIDE RIDE: THE PLATINUM MAN. You hitch your lift with this man You'll have your blood on your hand …AN OLDER MAN WITH NO FUTURE, AND NOTHING TO LIVE FOR … Norman Dimond is the Silver Man, an over-the-hill LA-based rock 'n roll record producer who has seen better days. A set-for-life bisexual with a hard spot for younger men, he squanders his nights hustling cash-strapped gay-for-pay desperadoes who swagger into his den on the Sunset Strip, looking for one-off love in all the right places. Lonely and at loose ends, he longs for a worthy dance partner, but despairs of finding him … Until one night, when he least expects it, in waltzes … A YOUNGER MAN WITH A PAST, AND A DEATH WISH … Johnny Gellis is the Platinum Man, a beautiful straight wreck who needs fixing—and who wants exactly what Norman Dimond has to give: a platform, a stage. But does he want it badly enough? Desperate to outrun his demons, he's driving himself crazy, and is heading straight for the edge. Can Norman save him, before it's too late? TWO LIVES ABOUT TO COLLIDE IN A SUICIDE RIDE … When Norman meets Johnny, their heavy-metal fenders bend, sending the male-on-male sparks flying. Johnny's number-one-with-a-bullet hit ""Suicide Ride"" blows Norman's mind, while his number-99-with-an-anchor tattoo pricks up more than just his ears. And though this hell-bent, cliff-hanging headbanger is the man-boy of his dreams, keeping him on course turns out to be a waking nightmare. Can Norman do it? Can he put him on top while stopping him from breaking down and destroying them both? The deeper Dimond digs, the darker it gets; and as the secrets and suspense multiply, so, too, do the lies. Johnny is hiding something, that much Norman is sure of; and what's worse, he begins to feel the tug of even darker and ever more violent undertows—sinister, malevolent drags that Gellis himself cannot spin-rinse away.",M M Romance,"September 29, 2013",313,5,411
The Kingdoms and the Elves of the Reaches,Robert Stanek,337,2.74,68,"Ruin Mist was featured in Publisher's Weekly Cover Story. Also recommended by the YA Librarians at VOYA Magazine, Foreword Magazine and in The Complete Idiots Guide to Elves and Fairies, Ancient Art of Faery Magick, Popular Series Fiction for Middle School and Teen Readers: A Reading and Selection Guide, and more.After the Great War that divided the peoples, the kingdoms of men plunged into a Dark Age that lasted 500 years. To heal the lands and restore the light, the great kings decreed that magic and all that is magical, be it creature, man, or device, shall be cleansed to dust. The cleansing raged for so long that no human could recall a time without it and it is in this time that the Dark Lord Sathar returned from the dark beyond. The one hope of the peoples of Ruin Mist was Queen Mother, the elf queen of old. She saw a way out of everlasting darkness, a path that required the union of the divided peoples. And so it began.",Fantasy,"February 1, 2002",Paperback,52,362
The Clansman,Thomas Dixon Jr.,305,2.63,79,"""The first thing to be said in discussing Thomas Dixon, Jr.'s novel The Clansman is that no person of critical judgment thinks of it as having artistic conception or literary craftsmanship."" - Historian Thomas D. ClarkThe year was 1865. With the close of the Civil War, there began for the South an era of even greater turmoil. In The Clansman, his controversial 1905 novel, later the basis of the motion picture The Birth of a Nation, Thomas Dixon, describes the social, political, and economic disintegration that plagued the South during Reconstruction, depicting the rise of the Ku Klux Klan and the reactions of two families to racial conflict. This study in social history was alternatively praised and damned by contemporary critics.As historian Thomas D. Clark notes in his introduction, the novel ""opened wider a vein of racial hatred which was to poison further an age already in social and political upheaval. Dixon had in fact given voice in his novel to one of the most powerful latent forces in the social and political mind of the South."" For modern readers, The Clansman probes the roots of the racial violence that still haunts our society.This critical edition places the controversial novel in context with the history of the Ku Klux Klan, discrimination, and Jim Crow laws. By detailing the economic plight of the South in the late nineteenth century and Dixon's background, Clark reveals how easily prejudice took hold amongst Southern whites.",Fiction,"January 1, 1905",374,77,659
The Chemistry of Tears,Peter Carey,4019,2.96,709,"When Catherine Gehrig, a museum conservator in London, falls into grief after her lover’s sudden death, her boss gives her a special project. She will bring back to “life” a nineteenth-century mechanical bird. As she begins to piece together the automaton, Catherine also uncovers the diaries of Henry Brandling, who, more than a hundred years prior, had commissioned the bird for his very ill son. Catherine finds resonance and comfort in Henry’s story, but it is the mechanical creature itself, in its uncanny imitation of life, that will link these two people across a century. Through the clockwork bird, Henry and Catherine will confront the mysteries of creation, the power of human invention, and the body’s astonishing chemistry of love and feeling.",Fiction,"January 1, 2012",229,177,"3,291"